지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%)
102,백령도,2023-06-12 05:00,14.9,,2,87
102,백령도,2023-06-12 06:00,16.8,,.7,71
102,백령도,2023-06-12 07:00,17.5,,.2,71
102,백령도,2023-06-12 08:00,17.6,0,1.1,77
102,백령도,2023-06-12 09:00,19.7,,.9,64
102,백령도,2023-06-12 10:00,21.6,,1.6,61
102,백령도,2023-06-12 11:00,21.9,,1.2,60
102,백령도,2023-06-12 12:00,21.7,,1.6,55
102,백령도,2023-06-12 13:00,23.3,,1.5,46
102,백령도,2023-06-12 14:00,22.8,,1.3,45
102,백령도,2023-06-12 15:00,22,,3.1,51
102,백령도,2023-06-12 16:00,22.1,,1.7,52
102,백령도,2023-06-12 17:00,21.4,,1.5,57
102,백령도,2023-06-12 18:00,20.3,,.7,63
102,백령도,2023-06-12 19:00,18.8,0,0,80
102,백령도,2023-06-12 20:00,18.6,,.3,79
102,백령도,2023-06-12 21:00,17.7,,1.3,84
102,백령도,2023-06-12 22:00,16.8,,1.7,90
102,백령도,2023-06-12 23:00,16.4,,1.6,91
102,백령도,2023-06-13 00:00,16.8,,1.3,89
102,백령도,2023-06-13 01:00,16,,2.1,93
102,백령도,2023-06-13 02:00,15.4,,2,91
102,백령도,2023-06-13 03:00,15.7,,.6,79
102,백령도,2023-06-13 04:00,15.8,,.4,74
102,백령도,2023-06-13 05:00,16.2,,.2,78
102,백령도,2023-06-13 06:00,15.2,,1.4,90
102,백령도,2023-06-13 07:00,16.9,,.9,81
102,백령도,2023-06-13 08:00,16,,1.5,86
102,백령도,2023-06-13 09:00,18,,.6,72
102,백령도,2023-06-13 10:00,20.1,,2.1,63
102,백령도,2023-06-13 11:00,20.3,,1.9,66
102,백령도,2023-06-13 12:00,21.5,,2.7,56
102,백령도,2023-06-13 13:00,21.8,,1.8,53
102,백령도,2023-06-13 14:00,20.5,,3.8,52
102,백령도,2023-06-13 15:00,20.8,,4.8,51
102,백령도,2023-06-13 16:00,21.1,,3.8,54
102,백령도,2023-06-13 17:00,20.4,,3,58
102,백령도,2023-06-13 18:00,19.5,,3.6,64
102,백령도,2023-06-13 19:00,18.9,,2.6,69
102,백령도,2023-06-13 20:00,17.2,,1.4,78
102,백령도,2023-06-13 21:00,16.2,,1.7,85
102,백령도,2023-06-13 22:00,16.2,,2.8,85
102,백령도,2023-06-13 23:00,16.5,,3.3,84
102,백령도,2023-06-14 00:00,16.3,,2,87
102,백령도,2023-06-14 01:00,16.3,,2.1,89
102,백령도,2023-06-14 02:00,15.5,,1.6,91
102,백령도,2023-06-14 03:00,15.1,,1.4,92
102,백령도,2023-06-14 04:00,15.3,,1.2,94
102,백령도,2023-06-14 05:00,15.2,,1.1,95
102,백령도,2023-06-14 06:00,15.7,,1,94
102,백령도,2023-06-14 07:00,17,,1,90
102,백령도,2023-06-14 08:00,18.3,,1.1,83
102,백령도,2023-06-14 09:00,19.4,,2.5,82
102,백령도,2023-06-14 10:00,20.5,,2.6,68
102,백령도,2023-06-14 11:00,21.6,,2.4,57
102,백령도,2023-06-14 12:00,21.7,,1.5,66
102,백령도,2023-06-14 13:00,21.3,,3.9,74
102,백령도,2023-06-14 14:00,22.1,,3.9,62
102,백령도,2023-06-14 15:00,21.4,,5.3,60
102,백령도,2023-06-14 16:00,21.3,,4.9,77
102,백령도,2023-06-14 17:00,21.6,,3.6,72
102,백령도,2023-06-14 18:00,20.3,,3.1,77
102,백령도,2023-06-14 19:00,20.4,,3,79
102,백령도,2023-06-14 20:00,19.2,,2.1,86
102,백령도,2023-06-14 21:00,18.1,,2.3,92
102,백령도,2023-06-14 22:00,18,,1.7,93
